Trends in Number of COVID-19 Vaccinations in the US
Date generated: Sat Jun 12 2021 19:11:04 GMT-0400 (Eastern Daylight Time)
Date Type,Date,Program,Total Doses Administered Daily,Daily Count People Receiving Dose 1,Daily Count People Receiving Dose 2,Total Doses Administered Cumulative,People Receiving 1 or More Doses Cumulative,People Receiving 2 Doses Cumulative,7-Day Avg Daily Count Dose 1,7-Day Avg Total Doses Daily,7-Day Avg Daily Count Dose 2,Total Doses Administered Daily Change,7-Day Avg Total Doses Administered Daily Change,Daily Count of People Fully Vaccinated,People with at least One Dose Cumulative,People Fully Vaccinated Cumulative,7-Day Avg Daily Count of People Fully Vaccinated
Admin,2021-05-17,US,1695605,853715,834320,282090905,161348377,117929585,769901,1772410,993534,null,null,922543,161348377,127850856,1070576
Report,2021-05-17,US,null,null,null,null,null,null,null,null,null,1486490,1830360,null,null,null,null
Admin,2021-05-17,LTC,1695,936,753,7829914,4891948,2877953,1148,1741,590,null,null,876,4891948,2887680,740
Admin,2021-05-18,US,1948223,968290,971463,284039128,162316667,118901048,818080,1784222,957440,null,null,1069793,162316667,128920649,1036536
Report,2021-05-18,US,null,null,null,null,null,null,null,null,null,1123306,1771807,null,null,null,null
Admin,2021-05-18,LTC,3112,1865,1238,7833026,4893813,2879191,1124,1718,592,null,null,1659,4893813,2889339,769
Admin,2021-05-19,US,1965014,979115,976939,286004142,163295782,119877987,865509,1797716,923750,null,null,1073018,163295782,129993667,1004292
Report,2021-05-19,US,null,null,null,null,null,null,null,null,null,1754966,1801333,null,null,null,null
Admin,2021-05-19,LTC,3138,1842,1292,7836164,4895655,2880483,1195,1888,690,null,null,1847,4895655,2891186,919
Admin,2021-05-20,US,1845613,882810,954809,287849755,164178592,120832796,865008,1761562,888459,null,null,1048583,164178592,131042250,971479
Report,2021-05-20,US,null,null,null,null,null,null,null,null,null,2107077,1828681,null,null,null,null
Admin,2021-05-20,LTC,3261,2098,1160,7839425,4897753,2881643,1234,1958,721,null,null,1768,4897753,2892954,983
Admin,2021-05-21,US,1893900,906373,978962,289743655,165084965,121811758,843937,1705556,853958,null,null,1072981,165084965,132115231,936573
Report,2021-05-21,US,null,null,null,null,null,null,null,null,null,2198101,1879526,null,null,null,null
Admin,2021-05-21,LTC,1847,1214,632,7841272,4898967,2882275,1200,1936,733,null,null,813,4898967,2893767,1003
Admin,2021-05-22,US,1323402,689248,629494,291067057,165774213,122441252,817052,1646243,821986,null,null,691161,165774213,132806392,903391
Report,2021-05-22,US,null,null,null,null,null,null,null,null,null,2345872,1872697,null,null,null,null
Admin,2021-05-22,LTC,127,90,37,7841399,4899057,2882312,1197,1932,733,null,null,39,4899057,2893806,1002
Admin,2021-05-23,US,583262,312743,268406,291650319,166086956,122709658,798899,1607859,802056,null,null,300205,166086956,133106597,882612
Report,2021-05-23,US,null,null,null,null,null,null,null,null,null,1779363,1827882,null,null,null,null
Admin,2021-05-23,LTC,84,47,37,7841483,4899104,2882349,1156,1894,736,null,null,38,4899104,2893844,1005
Admin,2021-05-24,US,1205939,595811,605093,292856258,166682767,123314751,762056,1537907,769309,null,null,681604,166682767,133788201,848192
Report,2021-05-24,US,null,null,null,null,null,null,null,null,null,1170314,1782714,null,null,null,null
Admin,2021-05-24,LTC,1291,661,630,7842774,4899765,2882979,1117,1837,718,null,null,692,4899765,2894536,979
Admin,2021-05-25,US,1349946,653014,691123,294206204,167335781,124005874,717016,1452439,729261,null,null,772750,167335781,134560951,805757
Report,2021-05-25,US,null,null,null,null,null,null,null,null,null,897972,1750524,null,null,null,null
Admin,2021-05-25,LTC,2017,1231,778,7844791,4900996,2883757,1026,1680,652,null,null,1320,4900996,2895856,931
Admin,2021-05-26,US,1333048,642604,684464,295539252,167978385,124690338,668943,1362158,687479,null,null,760301,167978385,135321252,761083
Report,2021-05-26,US,null,null,null,null,null,null,null,null,null,1423432,1703162,null,null,null,null
Admin,2021-05-26,LTC,2478,1677,799,7847269,4902673,2884556,1003,1586,582,null,null,1574,4902673,2897430,892
Admin,2021-05-27,US,1247864,599991,642253,296787116,168578376,125332591,628541,1276765,642828,null,null,716294,168578376,136037546,713613
Report,2021-05-27,US,null,null,null,null,null,null,null,null,null,1512303,1618194,null,null,null,null
Admin,2021-05-27,LTC,2635,1750,878,7849904,4904423,2885434,953,1497,542,null,null,1635,4904423,2899065,873
Admin,2021-05-28,US,1234406,594121,635258,298021522,169172497,125967849,583933,1182552,593727,null,null,706936,169172497,136744482,661321
Report,2021-05-28,US,null,null,null,null,null,null,null,null,null,1375171,1500632,null,null,null,null
Admin,2021-05-28,LTC,1473,718,674,7851377,4905141,2886108,882,1443,548,null,null,808,4905141,2899873,872
Admin,2021-05-29,US,709698,380398,326904,298731220,169552895,126294753,539812,1094880,550500,null,null,369472,169552895,137113954,615366
Report,2021-05-29,US,null,null,null,null,null,null,null,null,null,1605272,1394832,null,null,null,null
Admin,2021-05-29,LTC,56,28,28,7851433,4905169,2886136,873,1433,546,null,null,28,4905169,2899901,870
Admin,2021-05-30,US,354706,195414,158234,299085926,169748309,126452987,523050,1062229,534761,null,null,182688,169748309,137296642,598577
Report,2021-05-30,US,null,null,null,null,null,null,null,null,null,1223800,1315466,null,null,null,null
Admin,2021-05-30,LTC,21,14,7,7851454,4905183,2886143,868,1424,542,null,null,8,4905183,2899909,866
Admin,2021-05-31,US,183422,86383,96226,299269348,169834692,126549213,450275,916155,462066,null,null,110644,169834692,137407286,517012
Report,2021-05-31,US,null,null,null,null,null,null,null,null,null,962475,1285775,null,null,null,null
Admin,2021-05-31,LTC,4,2,2,7851458,4905185,2886145,774,1240,452,null,null,2,4905185,2899911,767
Admin,2021-06-01,US,1164181,532028,627136,300433529,170366720,127176349,432991,889617,452925,null,null,689530,170366720,138096816,505123
Report,2021-06-01,US,null,null,null,null,null,null,null,null,null,512915,1230767,null,null,null,null
Admin,2021-06-01,LTC,1712,882,820,7853170,4906067,2886965,724,1197,458,null,null,1251,4906067,2901162,758
Admin,2021-06-02,US,1030285,491956,534051,301463814,170858676,127710400,411470,846366,431437,null,null,598256,170858676,138695072,481974
Report,2021-06-02,US,null,null,null,null,null,null,null,null,null,508652,1100084,null,null,null,null
Admin,2021-06-02,LTC,1814,1172,635,7854984,4907239,2887600,652,1102,435,null,null,1192,4907239,2902354,703
Admin,2021-06-03,US,1148052,473111,670841,302611866,171331787,128381241,393344,832107,435521,null,null,732114,171331787,139427186,484234
Report,2021-06-03,US,null,null,null,null,null,null,null,null,null,808036,999474,null,null,null,null
Admin,2021-06-03,LTC,2030,1304,724,7857014,4908543,2888324,589,1015,413,null,null,1284,4908543,2903638,653
Admin,2021-06-04,US,1285381,500813,780102,303897247,171832600,129161343,380015,839389,456213,null,null,844136,171832600,140271322,503834
Report,2021-06-04,US,null,null,null,null,null,null,null,null,null,1399594,1002963,null,null,null,null
Admin,2021-06-04,LTC,1339,658,680,7858353,4909201,2889004,580,996,414,null,null,839,4909201,2904477,657
Admin,2021-06-05,US,977635,351792,623089,304874882,172184392,129784432,375928,877666,498526,null,null,662976,172184392,140934298,545763
Report,2021-06-05,US,null,null,null,null,null,null,null,null,null,1148208,937669,null,null,null,null
Admin,2021-06-05,LTC,87,21,64,7858440,4909222,2889068,579,1001,419,null,null,67,4909222,2904544,663
Admin,2021-06-06,US,467723,183233,283267,305342605,172367625,130067699,374188,893811,516387,null,null,306089,172367625,141240387,563392
Report,2021-06-06,US,null,null,null,null,null,null,null,null,null,1369848,958533,null,null,null,null
Admin,2021-06-06,LTC,114,100,14,7858554,4909322,2889082,591,1014,420,null,null,104,4909322,2904648,677
Admin,2021-06-07,US,966519,369060,594102,306309124,172736685,130661801,414570,1005682,587513,null,null,642120,172736685,141882507,639317
Report,2021-06-07,US,null,null,null,null,null,null,null,null,null,1213339,994370,null,null,null,null
Admin,2021-06-07,LTC,770,354,414,7859324,4909676,2889496,642,1123,479,null,null,455,4909676,2905103,741
Admin,2021-06-08,US,1030557,385922,640557,307339681,173122607,131302358,393698,986593,589430,null,null,691566,173122607,142574073,639608
Report,2021-06-08,US,null,null,null,null,null,null,null,null,null,1071750,1074204,null,null,null,null
Admin,2021-06-08,LTC,1624,1002,608,7860948,4910678,2890104,659,1111,448,null,null,990,4910678,2906093,704
Admin,2021-06-09,US,625445,216007,407150,307965126,173338614,131709508,354277,928758,571301,null,null,442523,173338614,143016596,617360
Report,2021-06-09,US,null,null,null,null,null,null,null,null,null,829809,1120083,null,null,null,null
Admin,2021-06-09,LTC,553,355,197,7861501,4911033,2890301,542,931,386,null,null,327,4911033,2906420,580
Admin,2021-06-10,US,125787,45021,80338,308090913,173383635,131789846,293121,782721,486944,null,null,87565,173383635,143104161,525282
Report,2021-06-10,US,null,null,null,null,null,null,null,null,null,934142,1138099,null,null,null,null
Admin,2021-06-10,LTC,12,12,0,7861513,4911045,2890301,357,642,282,null,null,0,4911045,2906420,397
Admin,2021-06-11,US,21815,8076,13666,308112728,173391711,131803512,222730,602211,377453,null,null,14919,173391711,143119080,406822
Report,2021-06-11,US,null,null,null,null,null,null,null,null,null,822177,1055610,null,null,null,null
Admin,2021-06-11,LTC,0,0,0,7861513,4911045,2890301,263,451,185,null,null,0,4911045,2906420,277
Admin,2021-06-12,US,0,0,0,308112728,173391711,131803512,172474,462549,288440,null,null,0,173391711,143119080,312111
Report,2021-06-12,US,null,null,null,null,null,null,null,null,null,1602933,1120571,null,null,null,null
Admin,2021-06-12,LTC,0,0,0,7861513,4911045,2890301,260,439,176,null,null,0,4911045,2906420,268
