Trends in Number of COVID-19 Vaccinations in the US
Date generated: Sat Jun 12 2021 19:11:04 GMT-0400 (Eastern Daylight Time)
Date Type,Date,Program,Total Doses Administered Daily,Daily Count People Receiving Dose 1,Daily Count People Receiving Dose 2,Total Doses Administered Cumulative,People Receiving 1 or More Doses Cumulative,People Receiving 2 Doses Cumulative,7-Day Avg Daily Count Dose 1,7-Day Avg Total Doses Daily,7-Day Avg Daily Count Dose 2,Total Doses Administered Daily Change,7-Day Avg Total Doses Administered Daily Change,Daily Count of People Fully Vaccinated,People with at least One Dose Cumulative,People Fully Vaccinated Cumulative,7-Day Avg Daily Count of People Fully Vaccinated
Admin,2021-02-20,LTC,60651,19365,40692,6664394,4478539,2137759,34277,96479,61142,null,null,40692,4478539,2137761,61142
Admin,2021-02-21,US,572743,249931,310043,70647652,47462376,22052037,686417,1452709,741636,null,null,310090,47462376,22055081,741721
Report,2021-02-21,US,null,null,null,null,null,null,null,null,null,1801134,1458040,null,null,null,null
Admin,2021-02-21,LTC,42369,12823,29049,6706763,4491362,2166808,32532,94838,61289,null,null,29049,4491362,2166810,61288
Admin,2021-02-22,US,1408702,613554,764737,72056354,48075930,22816774,688052,1492383,778537,null,null,764839,48075930,22819920,778624
Report,2021-02-22,US,null,null,null,null,null,null,null,null,null,1086840,1416701,null,null,null,null
Admin,2021-02-22,LTC,94470,29214,64371,6801233,4520576,2231179,31220,93219,60963,null,null,64371,4520576,2231181,60962
Admin,2021-02-23,US,1878595,863395,979047,73934949,48939325,23795821,698513,1535288,809633,null,null,979142,48939325,23799062,809725
Report,2021-02-23,US,null,null,null,null,null,null,null,null,null,854609,1401674,null,null,null,null
Admin,2021-02-23,LTC,93490,29910,62585,6894723,4550486,2293764,29443,90376,59890,null,null,62585,4550486,2293766,59889
Admin,2021-02-24,US,2433824,1230395,1167130,76368773,50169720,24962951,742187,1609345,838671,null,null,1167265,50169720,24966327,838770
Report,2021-02-24,US,null,null,null,null,null,null,null,null,null,1432864,1454731,null,null,null,null
Admin,2021-02-24,LTC,105450,38075,66602,7000173,4588561,2360366,29078,88590,58551,null,null,66602,4588561,2360368,58550
Admin,2021-02-25,US,2833152,1510506,1278490,79201925,51680226,26241441,840535,1757788,886865,null,null,1278702,51680226,26245029,886981
Report,2021-02-25,US,null,null,null,null,null,null,null,null,null,1809170,1505193,null,null,null,null
Admin,2021-02-25,LTC,110532,42042,67519,7110705,4630603,2427885,29829,88422,57717,null,null,67519,4630603,2427887,57717
Admin,2021-02-26,US,3008253,1651852,1315607,82210178,53332078,27557048,959305,1915609,924541,null,null,1315734,53332078,27560763,924651
Report,2021-02-26,US,null,null,null,null,null,null,null,null,null,2179947,1552717,null,null,null,null
Admin,2021-02-26,LTC,70331,22435,46839,7181036,4653038,2474724,27695,82470,53951,null,null,46839,4653038,2474726,53951
Admin,2021-02-27,US,1937073,1127440,780902,84147251,54459518,28337950,1035296,2010334,942279,null,null,781197,54459518,28341960,942424
Report,2021-02-27,US,null,null,null,null,null,null,null,null,null,2352116,1645240,null,null,null,null
